,Unnamed: 0,Link,Title,Estate_type,Province,District,Ward,Price,Square,Post_date,Describe,Numb_bedroom,Numb_toilet,Numb_floor
0,0,https://bds.com.vn/⛔️-nha-5-tang-tdc-lac-thi--_-thanh-tri---p627986.html,⛔️ NHÀ 5 TẦNG TĐC LẠC THỊ  _ THANH TRÌ,nhà riêng,Hà Nội,Huyện Thanh Trì,Xã Ngọc Hồi,4860000000.0,54.0,24/08/2024,"⛔️ NHÀ 5 TẦNG TĐC LẠC THỊ  _ THANH TRÌ 

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Huyện Thanh Trì
Mua bán nhà đất Xã Ngọc Hồi",4.0,4.0,5.0
1,1,https://bds.com.vn/ban-nha-pho-tram--dam-quang-trung--long-bien-ha-noi-5-x-ty-p627253.html,Bán nhà phố Trạm ( Đàm Quang Trung ) long Biên Hà Nội 5 x. Tỷ,nhà mặt phố,Hà Nội,Quận Long Biên,Phường Long Biên,5000000000.0,33.0,19/08/2024,"Chính chủ bán căn lô góc 2 mặt tiền dt 33 m ,5 tầng mới kính kong chỉ sách vali về ở , ngay đầu cầu Vi hx Tuy và Trung tâm tm Aeon ,sang phố cổ vsif phút . Nhà đẹp ko có gì phải tả khách xem là ưng , mong gặp hữu duyên chủ mới .lh:0944619996 ( Tâm ) nhà chính chủ.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Long Biên
Mua bán nhà đất Phường Long Biên",3.0,3.0,5.0
3,3,https://bds.com.vn/ban-nha-vua-kinh-doanh-vua-o-tan-mai-55m-tang-1-gia-255-ty-p627980.html,"Bán Nhà Vừa Kinh Doanh, Vừa Ở Tân Mai 55m, tầng 1, giá 2.55 tỷ.",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Tân Mai,2550000000.0,55.0,24/08/2024,"Bán Nhà Vừa Kinh Doanh, Vừa Ở Tân Mai 55m, tầng 1, giá 2.55 tỷ.
LH em Lan 0975258510

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Tân Mai",2.0,1.0,1.0
4,4,https://bds.com.vn/ban-nha-vua-kinh-doanh-vua-o--ngo-trai-gang-pho-bach-mai-99m-tang-1-mt-68m-gia-475-ty-p627976.html,"Bán Nhà Vừa Kinh Doanh Vừa Ở  Ngõ Trại Găng, Phố Bạch Mai 99m, tầng 1, mt 6.8m, giá 4.75 tỷ.",nhà riêng,Hà Nội,Quận Hai Bà Trưng,Phường Bạch Mai,4750000000.0,99.0,24/08/2024,"Bán Nhà Vừa Kinh Doanh Vừa Ở  Ngõ Trại Găng, Phố Bạch Mai 99m, tầng 1, mt 6.8m, giá 4.75 tỷ.
LH em Lan 0975258510

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hai Bà Trưng
Mua bán nhà đất Phường Bạch Mai",2.0,1.0,1.0
9,9,https://bds.com.vn/ban-nha-mat-pho-nguyen-khang-cau-giay-ha-noiokinh-doanh-cuc-toto-to-p627506.html,"Bán nhà mặt phố Nguyễn Khang Cầu Giấy Hà Nội,Ở,Kinh doanh cực tốt,Ô Tô",nhà mặt phố,Hà Nội,Quận Cầu Giấy,Phường Yên Hoà,16899999999.999998,41.0,20/08/2024,"Bán nhà mặt tiền phố số 92A Nguyễn Khang P. Yên Hòa . Q. Cầu Giấy Hà Nội. Nhà 5 tầng cực đẹp, T2 đang cho thuê 25trieu/tháng. Nhà nằm vị trí rất đẹp, bên hông còn 1 ngõ rộng( nên nhà có 2 mặt tiền) phía trước đường thoáng, vỉa hè rộng, Để ở hoặc kinh doanh gì cũng được.
+ Nhà gồm 5 tầng thiết kế thoáng mát, mỗi tầng là 1 WC rộng rãi, và có thể 2 làm 2 ngủ, 1 khách.
+ Mặt  tiền có diện tích 4 m2. Nhà Sổ đỏ chính chủ đẹp long lanh.
Nhà mặt phố Nguyễn Khang - Cầu Giấy Hà Nội
Bán nhà mặt phố Nguyễn Khang Cầu Giấy Hà Nội,Ở,Kinh doanh cực tốt,Ô Tô                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Cầu Giấy
Mua bán nhà đất Phường Yên Hoà",5.0,5.0,5.0
10,10,https://bds.com.vn/ban-nha-50m2-lo-goc-3-mat-tien-ngo-oto-c4-92ty-pho-dang-thai-mai-gan-ho-tay2-p452417.html,Bán nhà 50m2 lô góc 3 mặt tiền ngõ ôtô C4 9.2tỷ Phố Đặng Thai Mai gần Hồ Tây(2),nhà riêng,Hà Nội,Quận Tây Hồ,Phường Quảng An,9200000000.0,50.0,09/08/2024,"Bán nhà 50m2 lô góc 3 mặt tiền ngõ ôtô C4 9.2tỷ Phố Đặng Thai Mai Quảng An gần Hồ Tây

- Hiện nhà C4 cũ xác định bán đất cực đẹp khu Đặng Thai Mai xung quanh là các khách sạn, tòa căn hộ, khu vực nhiều người nước ngoài sinh sống 
- Khu vực an sinh tốt, tiện ích VIP, ngay gần Hồ Tây, Quảng An, Tây Hồ, Xuân Diệu, Quảng Khánh, Tô Ngọc Vân..
Sổ đỏ vuông vắn chính chủ sẵn sàng giao dịch.
Chú ý: 
1. LH: A. Hoàng Anh 0337628046 (xem nhà miễn phí)
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Tây Hồ
Mua bán nhà đất Phường Quảng An",2.0,1.0,1.0
12,12,https://bds.com.vn/nha-dep-dinh-cong-55m2-4-tang-mt-5m-lo-goc-gara-o-to-kd-chi-5x-ty-p304909.html,"Nhà đẹp Định công 55m2, 4 tầng, MT 5m, lô góc, gara ô tô, KD chỉ 5.x tỷ",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Định Công,5900000000.0,55.0,09/08/2024,"+ Bán nhà Định công, Hoàng Mai 55m2, 4 tầng, mặt tiền 5m, hai thoáng, ô tô đỗ cửa, vào nhà chỉ 5.9 tỷ( có thương lượng)
+ Điểm nổi bật là nhà được thiết kế Khung cột Bê tông chắc chắn, lô góc nên phòng nào cũng có cửa sổ rộng, ngập tràn ánh sáng.
+ Gia chủ tâm huyết xây dựng cẩn thận mới được vài năm, nay có việc cần bán đi trong sự tiếc nuối.
+ Vị trí đẹp, giao thông đi lại thuận tiện, tiện ích xung quanh đầy đủ TTTM, chợ, trường học các cấp...
+ Hạ tầng tốt, dân trí cao, nhà thông đi các hướng Vũ Tông Phan, Kim Giang, Lê Trọng Tấn, Giải Phóng đều thuận tiện. 
+ Sổ đỏ A4 sẵn sàng giao dịch.
+ Liên hệ xem nhà  Hiếu: 0984262515( miễn trung gian).                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Định Công",4.0,4.0,4.0
15,15,https://bds.com.vn/can-ban-ccmn-pho-cu-loc-voi-dien-tich-63m2-7tang-gia-chi-12-ty-p289717.html,"Cần bán CCMN phố Cự Lộc với diện tích 63m2, 7tầng, giá chỉ 12 tỷ",nhà mặt phố,Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Trung,12000000000.0,63.0,09/08/2024,"+ Cự Lộc là con phố nằm bên cạnh TTTM Royal City thông sang Quan Nhân, cả phố kinh doanh tấp nập với đầy đủ các loại hình, các TTTM và CC cao cấp bao bọc lấy phố, các trường Đại học và cao đẳng cách rất gần.
+Nhà có diện tích 63m2, 7 tầng giá chỉ 12 tỷ và nằm ở vị trí đẹp nhất của phố, cách đường Nguyễn Trãi chỉ 35m, giao thông thuận lợi,
+Nhà bán là nhà CCMN với thiết kế hợp lý, thuận tiện cho sinh hoạt, chắc chắn và khoa học với 23 phòng khép kín đầy đủ tiện nghi, đảm bảo thoải mái cho người ở, doanh thu ổn định cho chủ nhân, đã có đủ điều hòa và nóng lạnh giường tủ, gác xép, chỉ việc sở hữu và hốt bạc. 
+ Sổ đỏ chính chủ, pháp lý sạch, quy hoạch rõ ràng, thiết kế hợp lý.
Liên hệ em Hà để được tư vấn hỗ trợ miễn phí .                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Thanh Xuân
Mua bán nhà đất Phường Thanh Xuân Trung",23.0,23.0,7.0
19,19,https://bds.com.vn/cuc-hiem-khuong-dinh-40m2-2-thoang-chu-tu-xay-o-luon-nhinh-3-ty-p289997.html,"CỰC HIẾM KHƯƠNG ĐÌNH 40M2, 2 THOÁNG, CHỦ TỰ XÂY, Ở LUÔN NHỈNH 3 TỶ",nhà riêng,Hà Nội,Quận Thanh Xuân,Phường Khương Đình,3980000000.0,40.0,09/08/2024,"+ Vị trí đẹp tuyệt vời, giao thông thuận tiện, khu dân trí cao, yên tĩnh, gần Royal City, hồ Hạ Đình, trường cấp 1, 2 Hạ Đình, chung cư Five Star. Ngõ trước nhà rộng thoáng, ba gác đỗ cửa, chỉ 50m ra mặt phố Khương Đình.
+ Nhà chủ tự xây ở vài năm vẫn còn như mới, hai mặt thoáng trước sau, sinh khí ngập tràn.
+ Nhà xây 3 tầng, móng cột chắc chắn lên được 5 tầng thoải mái. Đầy đủ công năng 3 phòng ngủ, full nội thất, khách mua chỉ việc xách vali về ở luôn.
+ Thiết kế:
Tầng 1: khách, bếp, vs.
Tầng 2: 2 ngủ + vs.
Tầng 3: 1 ngủ, phòng thờ, vs, sân phơi.
+ Sổ đỏ thi hoa hậu, sẵn sàng giao dịch.
+ Liên hệ: Hoàng Thắng 0975.916.986 để được tư vấn và xem nhà miễn phí.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Thanh Xuân
Mua bán nhà đất Phường Khương Đình",3.0,3.0,3.0
22,22,https://bds.com.vn/sieu-pham-nha-ngo-pho-vong-45m2-nha-4-tang-5m2-5-ty-trung-tam-quan-thanh-xuan-p290148.html,SIÊU PHẨM NHÀ NGÕ Phố Vọng 45M2 NHÀ 4 TẦNG 5M2 5 tỷ TRUNG TÂM QUẬN Thanh Xuân,nhà riêng,Hà Nội,Quận Thanh Xuân,Phường Phương Liệt,5000000000.0,45.0,09/08/2024,"SIÊU PHẨM NHÀ NGÕ Phố Vọng 45M2 NHÀ 4 TẦNG 5M2 5 tỷ TRUNG TÂM QUẬN Thanh Xuân  
HIẾM HIẾM - NHÀ ĐẸP CỰC - THOÁNG TRƯỚC SAU VĨNH VIỄN - NGÕ TRƯỚC NHÀ 3M. 
+ Mô tả. 
- Tầng 1 Phòng khách và bếp. 
- Tầng 2+3 Tổng 4 ngủ, 2 ngủ to và 2 ngủ nhỏ, phòng nào cũng có cửa sổ đón ánh sáng ngập tràn. 
- Tầng 4 Phòng thờ và sân phơi. 
+ Sổ đỏ vuông vắn, sẵn sàng sang tên.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Thanh Xuân
Mua bán nhà đất Phường Phương Liệt",4.0,4.0,4.0
