,Link,Title,Estate_type,Province,District,Ward,Price,Square,Post_date,Describe,Numb_bedroom,Numb_toilet,Numb_floor
0,https://bds.com.vn/⛔️-nha-5-tang-tdc-lac-thi--_-thanh-tri---p627986.html,⛔️ NHÀ 5 TẦNG TĐC LẠC THỊ  _ THANH TRÌ,nhà riêng,Hà Nội,Huyện Thanh Trì,Xã Ngọc Hồi,4.86 tỷ,54 m2,24/08/2024,"⛔️ NHÀ 5 TẦNG TĐC LẠC THỊ  _ THANH TRÌ 

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Huyện Thanh Trì
Mua bán nhà đất Xã Ngọc Hồi",4,4,5
1,https://bds.com.vn/ban-nha-pho-tram--dam-quang-trung--long-bien-ha-noi-5-x-ty-p627253.html,Bán nhà phố Trạm ( Đàm Quang Trung ) long Biên Hà Nội 5 x. Tỷ,nhà mặt phố,Hà Nội,Quận Long Biên,Phường Long Biên,5 tỷ,33 m2,19/08/2024,"Chính chủ bán căn lô góc 2 mặt tiền dt 33 m ,5 tầng mới kính kong chỉ sách vali về ở , ngay đầu cầu Vi hx Tuy và Trung tâm tm Aeon ,sang phố cổ vsif phút . Nhà đẹp ko có gì phải tả khách xem là ưng , mong gặp hữu duyên chủ mới .lh:0944619996 ( Tâm ) nhà chính chủ.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Long Biên
Mua bán nhà đất Phường Long Biên",3,3,5
2,https://bds.com.vn/⛔️-con-sot-1-lo-duy-nhat-tai-cho-van-dien-tu-hiep-_-thanh-tri---p627903.html,⛔️ CÒN SÓT 1 LÔ DUY NHẤT TẠI CHỢ VĂN ĐIỂN TỨ HIỆP _ THANH TRÌ,đất,Hà Nội,Huyện Thanh Trì,Xã Tứ Hiệp,20.78 tỷ,263 m2,23/08/2024,"⛔️ CÒN SÓT 1 LÔ DUY NHẤT TẠI CHỢ VĂN ĐIỂN TỨ HIỆP _ THANH TRÌ 

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Huyện Thanh Trì
Mua bán nhà đất Xã Tứ Hiệp",,,
3,https://bds.com.vn/ban-nha-vua-kinh-doanh-vua-o-tan-mai-55m-tang-1-gia-255-ty-p627980.html,"Bán Nhà Vừa Kinh Doanh, Vừa Ở Tân Mai 55m, tầng 1, giá 2.55 tỷ.",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Tân Mai,2.55 tỷ,55 m2,24/08/2024,"Bán Nhà Vừa Kinh Doanh, Vừa Ở Tân Mai 55m, tầng 1, giá 2.55 tỷ.
LH em Lan 0975258510

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Tân Mai",2,1,1
4,https://bds.com.vn/ban-nha-vua-kinh-doanh-vua-o--ngo-trai-gang-pho-bach-mai-99m-tang-1-mt-68m-gia-475-ty-p627976.html,"Bán Nhà Vừa Kinh Doanh Vừa Ở  Ngõ Trại Găng, Phố Bạch Mai 99m, tầng 1, mt 6.8m, giá 4.75 tỷ.",nhà riêng,Hà Nội,Quận Hai Bà Trưng,Phường Bạch Mai,4.75 tỷ,99 m2,24/08/2024,"Bán Nhà Vừa Kinh Doanh Vừa Ở  Ngõ Trại Găng, Phố Bạch Mai 99m, tầng 1, mt 6.8m, giá 4.75 tỷ.
LH em Lan 0975258510

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hai Bà Trưng
Mua bán nhà đất Phường Bạch Mai",2,1,1
5,https://bds.com.vn/-p627943.html,,nhà mặt phố,Hà Nội,Quận Ba Đình,Phường Giảng Võ,4 tỷ,,23/08/2024,"Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Ba Đình
Mua bán nhà đất Phường Giảng Võ",,,2
6,https://bds.com.vn/-p627905.html,,nhà riêng,Hà Nội,Huyện Thanh Trì,Xã Ngọc Hồi,4.54 tỷ,72 m2,23/08/2024,"Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Huyện Thanh Trì
Mua bán nhà đất Xã Ngọc Hồi",3,,1
7,https://bds.com.vn/❤-lo-dat-cuc-rong-dau-tu-sieu-loi-nhuan-⛳️--vinh-quynh-_-thanh-tri---dien-tich---52m--mt-;-4m-vuong-det--gia-cuc-re---hon-3-ty--☎️lh---0975877582---cach-truc-chinh-cho-quynh-do-chi-30m--duong-truoc-dat--rong--ngo-thong-tu-tung--so-net-cang-giao-dich-ngay--p627902.html,,,,,,,,,,,,
8,https://bds.com.vn/cuc-re-mat-noi-khu-doi-dien-voi-toa-c-masteri-gia-tu-345-ti-dien-tich-63m2-p627731.html,"Cực rẻ mặt nội khu, đối diện với tòa c masteri, giá từ 3,45 tỉ, diện tích 63m2",căn hộ chung cư,Hà Nội,Quận Nam Từ Liêm,Phường Đại Mỗ,3.45 tỷ,63 m2,22/08/2024,"Cần bán ShopHouse tại Masteri West Heights, Quận Nam Từ Liêm, Hà Nội. Shop phù hợp để kinh doanh Căn ShopHouse được xây dựng ở chân tòa chung cư với diện tích: 63(m2) Giá bán: 3450 Triệu

Ngoài ra còn cho thuê được 55 triệu/ tháng

Đặc biệt có các căn shop cho thuê khác

Diện tích : 43m2 giá 40tr/tháng.
Diện tích : 63m2 giá 60tr/tháng.
Diện tích : 63m2 giá 70tr/tháng.
Diện tích : 63m2 giá 65tr/tháng.
Diện tích : 80m2 giá 80tr/tháng.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Nam Từ Liêm
Mua bán nhà đất Phường Đại Mỗ",,,
9,https://bds.com.vn/ban-nha-mat-pho-nguyen-khang-cau-giay-ha-noiokinh-doanh-cuc-toto-to-p627506.html,"Bán nhà mặt phố Nguyễn Khang Cầu Giấy Hà Nội,Ở,Kinh doanh cực tốt,Ô Tô",nhà mặt phố,Hà Nội,Quận Cầu Giấy,Phường Yên Hoà,16.90 tỷ,41 m2,20/08/2024,"Bán nhà mặt tiền phố số 92A Nguyễn Khang P. Yên Hòa . Q. Cầu Giấy Hà Nội. Nhà 5 tầng cực đẹp, T2 đang cho thuê 25trieu/tháng. Nhà nằm vị trí rất đẹp, bên hông còn 1 ngõ rộng( nên nhà có 2 mặt tiền) phía trước đường thoáng, vỉa hè rộng, Để ở hoặc kinh doanh gì cũng được.
+ Nhà gồm 5 tầng thiết kế thoáng mát, mỗi tầng là 1 WC rộng rãi, và có thể 2 làm 2 ngủ, 1 khách.
+ Mặt  tiền có diện tích 4 m2. Nhà Sổ đỏ chính chủ đẹp long lanh.
Nhà mặt phố Nguyễn Khang - Cầu Giấy Hà Nội
Bán nhà mặt phố Nguyễn Khang Cầu Giấy Hà Nội,Ở,Kinh doanh cực tốt,Ô Tô                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Cầu Giấy
Mua bán nhà đất Phường Yên Hoà",5,5,5
